,longitude,latitude,altitude,heading,tilt,range,altitudeMode
Teotihuacan,-98.8435000,19.6923000,0.0000000,0.0000000,45.0000000,2000.0000000,relativeToGround
Tulum,-87.4296000,20.2147000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Palacio_de_Bellas_Artes,-99.1412000,19.4352000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Chapultepec_Castle,-99.1813000,19.4204000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Palenque,-91.9961000,17.4848000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Machu_Picchu,-72.5450000,-13.1631000,2430.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Sacsayhuaman,-71.9817000,-13.5080000,3700.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Nazca_Lines,-75.1300000,-14.7390000,0.0000000,0.0000000,45.0000000,5000.0000000,relativeToGround
Plaza_de_Armas_Cusco,-71.9785000,-13.5160000,3400.0000000,0.0000000,45.0000000,500.0000000,relativeToGround
Huaca_Pucllana,-77.0338000,-12.1107000,0.0000000,0.0000000,45.0000000,500.0000000,relativeToGround
Chan_Chan,-79.0718000,-8.1100000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
CN_Tower,-79.3871000,43.6426000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Banff_National_Park,-115.5708000,51.1784000,1400.0000000,0.0000000,45.0000000,5000.0000000,relativeToGround
Chateau_Frontenac,-71.2050000,46.8119000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Peggy's_Cove,-63.9151000,44.4925000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Parliament_Hill,-75.7003000,45.4236000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Niagara_Falls,-79.0742000,43.0799000,0.0000000,0.0000000,45.0000000,2000.0000000,relativeToGround
